token,profil_utilisateur
77395357,1
s9obju10,1
98885414,1
45412986,1
ANONYMOUSTOKEN4247,1
ANONYMOUSTOKEN2178,1
egha6n10,1
04065471,0
pjkop410,1
64199360,1
67456008,1
ANONYMOUSTOKEN3291,1
90313924,0
ANONYMOUSTOKEN5162,0
ANONYMOUSTOKEN1106,1
ANONYMOUSTOKEN1933,1
ANONYMOUSTOKEN1727,1
75727873,0
58980648,1
75706426,1
ANONYMOUSTOKEN2509,1
51480159,1
34045835,1
ANONYMOUSTOKEN3229,1
68610831,0
12092721,0
b3ywun10,1
18217811,1
37018015,1
02364760,1
93127630,1
ANONYMOUSTOKEN2943,1
ANONYMOUSTOKEN3365,1
46268146,1
d9nkzb10,1
ANONYMOUSTOKEN3582,1
59241488,1
TESTGFINBOSONY24,1
ANONYMOUSTOKEN4244,1
ANONYMOUSTOKEN1392,1
62644030,1
57915896,1
23298934,1
58543615,1
63841125,1
ANONYMOUSTOKEN2377,1
56874938,0
73012659,1
74793713,1
87113716,1
39844656,1
30154746,0
ANONYMOUSTOKEN4696,0
en9dhq10,1
66162764,1
68894658,1
ANONYMOUSTOKEN1482,1
06418133,1
99628647,1
ANONYMOUSTOKEN2942,1
ANONYMOUSTOKEN2836,1
ANONYMOUSTOKEN3685,1
38041242,1
42598467,1
23414682,0
ANONYMOUSTOKEN4893,0
19426985,0
69596435,0
ANONYMOUSTOKEN2028,1
sh6jz310,1
34345716,1
61968570,1
67903605,1
32870505,1
ip8r5z10,1
ANONYMOUSTOKEN4668,0
ANONYMOUSTOKEN5156,0
49892228,1
ANONYMOUSTOKEN2751,1
ANONYMOUSTOKEN1257,1
ANONYMOUSTOKEN3526,1
ANONYMOUSTOKEN3994,1
ANONYMOUSTOKEN5090,0
48791759,1
87157957,1
ANONYMOUSTOKEN2452,1
ANONYMOUSTOKEN2628,1
85938359,1
ANONYMOUSTOKEN3549,1
94275575,1
02650050,1
44227238,1
ANONYMOUSTOKEN3446,1
90856944,1
TESTGFIBUGFIXDUS,1
92984902,0
02422081,1
25301263,1
ANONYMOUSTOKEN2326,1
13376728,0
09980433,1
40687391,1
44104099,1
lqod1a10,1
00441250,1
ura9jf10,1
74086432,1
23729256,1
ANONYMOUSTOKEN3532,1
67560677,0
95500856,1
ANONYMOUSTOKEN4778,0
ANONYMOUSTOKEN923,1
csv2tr10,1
57607766,1
59762623,1
28347102,1
ANONYMOUSTOKEN4279,0
48792995,0
19255987,1
ANONYMOUSTOKEN866,1
81469125,1
kxbnkd10,1
04732048,0
84002147,1
ANONYMOUSTOKEN4826,0
79954777,0
ANONYMOUSTOKEN1031,1
14757252,1
97803465,1
ANONYMOUSTOKEN2726,1
86036231,1
60617209,1
ANONYMOUSTOKEN4580,0
35852504,1
43974336,1
26460928,1
ANONYMOUSTOKEN3421,1
ANONYMOUSTOKEN3617,1
64729824,0
71584518,1
64742581,1
zgl7v010,1
ANONYMOUSTOKEN2565,1
ANONYMOUSTOKEN2829,1
ANONYMOUSTOKEN2965,1
ANONYMOUSTOKEN3540,1
64808071,1
ANONYMOUSTOKEN1474,1
24861292,1
ANONYMOUSTOKEN4129,1
s6gr6210,1
16794940,1
ANONYMOUSTOKEN4700,0
22842952,0
ANONYMOUSTOKEN5299,0
79001771,1
87309866,1
ANONYMOUSTOKEN2098,1
ANONYMOUSTOKEN2539,1
g0np5110 ,1
98026739,1
24501172,1
ANONYMOUSTOKEN3588,1
19292848,1
ANONYMOUSTOKEN5275,0
o4w33810,0
87888820,1
ANONYMOUSTOKEN3541,1
ANONYMOUSTOKEN3585,1
ANONYMOUSTOKEN3138,1
ANONYMOUSTOKEN3696,1
ANONYMOUSTOKEN4763,0
ANONYMOUSTOKEN1195,1
19079539,1
mmq2bf10,1
ANONYMOUSTOKEN3145,1
39255690,1
27450616,1
17896153,1
ANONYMOUSTOKEN3874,1
54903530,1
ANONYMOUSTOKEN4681,0
49444932,0
67255062,1
93579024,1
44574636,1
ANONYMOUSTOKEN2289,1
42353076,1
ANONYMOUSTOKEN2446,1
21432126,1
96850638,1
92603275,0
10418937,0
92731389,1
ANONYMOUSTOKEN1246,1
mlki0810,1
10900031,1
o32js610,1
90143919,1
ANONYMOUSTOKEN2966,1
ANONYMOUSTOKEN5015,0
05934607,0
ANONYMOUSTOKEN3209,1
46382941,1
32495805,1
62838252,1
23960676,0
64879616,1
ANONYMOUSTOKEN2057,1
ANONYMOUSTOKEN2431,1
61788387,0
92310994,0
ANONYMOUSTOKEN5078,0
01747546,1
53847326,1
ANONYMOUSTOKEN2839,1
74154022,0
78617502,0
14131364,0
ANONYMOUSTOKEN5120,0
13568139,1
ANONYMOUSTOKEN2086,1
ANONYMOUSTOKEN2248,1
87849086,1
ANONYMOUSTOKEN3321,1
60073438,1
78406982,0
n8aag910,1
90550589,1
54770212,1
91668051,1
h80v2o10,1
49031140,1
44509304,1
akinot10,1
78716264,0
35945703,1
ANONYMOUSTOKEN863,1
21899181,1
72713060,0
ANONYMOUSTOKEN2040,1
ANONYMOUSTOKEN2655,1
ANONYMOUSTOKEN2776,1
ANONYMOUSTOKEN2920,1
ANONYMOUSTOKEN3116,1
47921525,1
uuht2f10,0
ANONYMOUSTOKEN1261,1
41031259,1
ANONYMOUSTOKEN2391,1
65717773,1
80231627,0
57120553,1
78747533,1
ANONYMOUSTOKEN1332,1
iq6nw010,1
62470022,1
TESTGFINBOSONY25T,1
54743459,1
17666440,0
nhnus710,0
54211765,1
54061204,1
ANONYMOUSTOKEN2486,1
55163755,1
ANONYMOUSTOKEN4179,1
ANONYMOUSTOKEN4599,0
lzp1q310,1
08646795,1
ANONYMOUSTOKEN2085,1
ANONYMOUSTOKEN2587,1
ANONYMOUSTOKEN2708,1
ANONYMOUSTOKEN3359,1
60227197,1
ANONYMOUSTOKEN4096,1
70624415,1
ANONYMOUSTOKEN4719,0
92957585,0
99408250,1
ANONYMOUSTOKEN1734,1
ANONYMOUSTOKEN884,1
86545157,1
ANONYMOUSTOKEN2878,1
39313047,1
47986129,1
47354863,1
ANONYMOUSTOKEN1644,1
fr8ecc10,1
48829126,1
ANONYMOUSTOKEN1151,1
48140595,0
ANONYMOUSTOKEN2294,1
58658778,1
27753397,1
99189874,1
ANONYMOUSTOKEN2971,1
96461272,1
ANONYMOUSTOKEN3542,1
48886001,1
16806210,1
51781308,1
43661346,1
19328232,1
ANONYMOUSTOKEN1943,1
ANONYMOUSTOKEN2800,1
ANONYMOUSTOKEN2006,1
51991849,1
64610512,1
45638742         ,1
25382166,1
43106649,1
84173519,0
x0vwnk10,1
ANONYMOUSTOKEN2458,1
ANONYMOUSTOKEN1701,1
lxkm9210,1
25399713,1
08742503,1
51135634,0
ANONYMOUSTOKEN3546,1
97274488,1
50606246,1
ANONYMOUSTOKEN1847,1
26648682,1
24649628,1
25317808,1
99953416,1
ANONYMOUSTOKEN1780,1
54239230,1
20433806,1
62666417,1
ANONYMOUSTOKEN2650,1
mezy2d10,1
ANONYMOUSTOKEN2952,1
ANONYMOUSTOKEN4265,0
ANONYMOUSTOKEN4734,0
ANONYMOUSTOKEN4787,0
17481971,0
55233255,1
41552778,1
hsm4i910,1
mymtua10,1
48957537,0
ANONYMOUSTOKEN4563,1
52289188,0
46601607,1
ANONYMOUSTOKEN862,1
ANONYMOUSTOKEN2824,1
59434319,0
20007780,1
98164319,0
ANONYMOUSTOKEN3233,1
ANONYMOUSTOKEN1814,1
82475120,1
94904564,1
ANONYMOUSTOKEN2889,1
ANONYMOUSTOKEN3342,1
90393563,1
ANONYMOUSTOKEN3684,1
TESTGFINBO1,1
94517841,1
49796735,0
71093578,1
ruco5q10,1
ANONYMOUSTOKEN2929,1
ANONYMOUSTOKEN2766,1
62638519,1
15069161,1
37963034,1
41157143,1
48675327,1
62339863,1
60985027,0
j31a5210,0
05628448,0
24726429,1
ANONYMOUSTOKEN1039,1
66884651,1
50972719,1
ANONYMOUSTOKEN2141,1
27128655,1
48054346,1
ANONYMOUSTOKEN3257,1
62613272,0
36537672,1
ANONYMOUSTOKEN4896,0
ANONYMOUSTOKEN4864,0
00662035,1
44743283,1
91361072,0
zzy01d10,0
68207980,1
69449256,1
23022933,1
naopu010,1
ANONYMOUSTOKEN5087,0
66668847,0
50372514,1
41895199,1
94873005,1
ANONYMOUSTOKEN2855,1
ANONYMOUSTOKEN3398,1
ANONYMOUSTOKEN3965,1
94664812,0
gur8zr10,1
20707081,1
61867140,1
ANONYMOUSTOKEN2778,1
03790542,1
ANONYMOUSTOKEN2332,1
ANONYMOUSTOKEN2831,1
ANONYMOUSTOKEN3629,1
ANONYMOUSTOKEN4112,1
18468839,1
57977935,1
38437210,0
ANONYMOUSTOKEN5125,0
74530162,0
40001332,1
21923615,0
ANONYMOUSTOKEN1693,1
50237669,1
43647599,1
54222228,1
95549203,1
ANONYMOUSTOKEN3576,1
47557462,1
90126046,1
25802212,1
63187695,1
30519235,1
52850519,1
g0np5110,1
69819268,1
71121257,1
37748628,1
ANONYMOUSTOKEN4970,0
ANONYMOUSTOKEN4801,0
ANONYMOUSTOKEN1060,1
96464464,1
ANONYMOUSTOKEN2477,1
ANONYMOUSTOKEN950,1
08986671,1
85277319,1
50405212,1
ANONYMOUSTOKEN3518,1
ANONYMOUSTOKEN3856,1
29246326,0
ANONYMOUSTOKEN2252,1
ANONYMOUSTOKEN4050,1
27874647,0
75553080,0
ANONYMOUSTOKEN2102,1
30266144,1
ANONYMOUSTOKEN2394,1
ANONYMOUSTOKEN2652,1
ANONYMOUSTOKEN2951,1
55330622,1
60724030,1
88947528,1
98211668,1
a6sfk110,1
40293281,1
ANONYMOUSTOKEN3256,1
69039438,1
38817022,0
ANONYMOUSTOKEN4780,0
ANONYMOUSTOKEN4795,0
36183748,0
ANONYMOUSTOKEN872,1
89264994,1
ANONYMOUSTOKEN2375,1
96834456,0
74438429,0
h3x5ha10,1
wqup9j10,1
47809551,1
11802691,1
65620242,1
87894053,1
60486608,0
61222637,1
54192679,1
57893236,1
87160137,1
91361354,1
95637628,1
77059539,1
91958176,1
87502602,0
ANONYMOUSTOKEN3237,1
ANONYMOUSTOKEN3820,1
ANONYMOUSTOKEN3948,1
ANONYMOUSTOKEN4739,0
77775073,1
76933532,1
ANONYMOUSTOKEN2877,1
ANONYMOUSTOKEN2891,1
45751297,1
ANONYMOUSTOKEN4440,1
94834413,0
31489134,0
ANONYMOUSTOKEN4239,0
73847197,0
ANONYMOUSTOKEN2564,1
ANONYMOUSTOKEN1949,1
ANONYMOUSTOKEN2886,1
ANONYMOUSTOKEN2900,1
ANONYMOUSTOKEN3726,0
ANONYMOUSTOKEN4671,0
04735981,1
21022432,1
89287136,1
ANONYMOUSTOKEN972,1
26140216,1
33948779,1
29674550,1
64647798,1
akf37z10,0
ANONYMOUSTOKEN2709,1
ANONYMOUSTOKEN2868,1
74578990,0
ANONYMOUSTOKEN5267,0
93871140,1
96179460,0
33115617,1
71461793,1
76555592,1
86756834,1
19531456,1
97571429,1
ANONYMOUSTOKEN3558,0
TESTGFINBOTAB22b,1
74660278,1
ANONYMOUSTOKEN5071,0
31608071,1
ANONYMOUSTOKEN1091,1
99993571,1
or6jwz10,1
ANONYMOUSTOKEN2819,1
01998953,1
75397909,1
12821299,1
ANONYMOUSTOKEN5226,0
79942155,1
29276709,1
35125555,1
ANONYMOUSTOKEN4595,1
ANONYMOUSTOKEN5008,0
31862057,0
78786142,0
ANONYMOUSTOKEN911,1
ANONYMOUSTOKEN1747,1
30760532,1
ANONYMOUSTOKEN2120,1
ANONYMOUSTOKEN2257,1
ANONYMOUSTOKEN2933,1
15487974,1
ANONYMOUSTOKEN3251,1
ANONYMOUSTOKEN4412,1
dha2gs10,1
74641145,1
07875018,1
51281595,1
cctyq410,1
16491348,1
ANONYMOUSTOKEN2902,1
04457701,1
ANONYMOUSTOKEN4497,1
70042444,0
97800047,0
00412702,1
ANONYMOUSTOKEN864,1
47637094,1
35852466,1
36853806,1
ANONYMOUSTOKEN4556,1
04940311,1
31777425,1
55485056,1
ANONYMOUSTOKEN1372,1
22015854,1
ANONYMOUSTOKEN1163,1
44527902,1
98738668,1
42167132,0
18853486,0
91190351,0
43242517,1
17039430,1
15788970,1
ANONYMOUSTOKEN2557,1
90659718,0
07724897 ,1
ANONYMOUSTOKEN1132,1
jehmzf10,1
ANONYMOUSTOKEN2554,1
55430053,1
87183468,1
08202536,1
ANONYMOUSTOKEN1455,1
09404634,1
ANONYMOUSTOKEN2384,1
27510287,1
82901035,1
15587704,1
ANONYMOUSTOKEN3329,1
14854579,0
ANONYMOUSTOKEN4365,1
ANONYMOUSTOKEN3939,1
77342770,0
85271313,1
36123577,1
68357204,1
ANONYMOUSTOKEN2232,1
77309793,1
30817176,1
66316373,0
ANONYMOUSTOKEN1544,1
91258007,1
79315759,1
TESTGFIGP0,1
07059477,1
08944336,1
64033082,1
ANONYMOUSTOKEN5223,0
02603361,1
p0sjpx10,1
ANONYMOUSTOKEN949,1
zmaisz10,1
78941586,1
20473617,0
40437364,1
ANONYMOUSTOKEN2317,1
ANONYMOUSTOKEN2121,1
16238412,1
ANONYMOUSTOKEN2514,1
ANONYMOUSTOKEN990,1
ANONYMOUSTOKEN2838,1
97371217,1
34230016,1
ANONYMOUSTOKEN3222,1
15751672,0
86398699,1
31393843,1
ANONYMOUSTOKEN4466,1
ANONYMOUSTOKEN4852,0
08760368,0
45995326,1
ANONYMOUSTOKEN2727,1
ANONYMOUSTOKEN2934,1
13511267,1
ANONYMOUSTOKEN1992,1
34990364,1
62641396,1
42676866,1
ANONYMOUSTOKEN3298,0
ANONYMOUSTOKEN4485,1
ANONYMOUSTOKEN4089,1
23693009,1
63683383,1
66807434,1
41436564,1
30818615,1
ANONYMOUSTOKEN2747,1
ANONYMOUSTOKEN3458,1
ANONYMOUSTOKEN2825,1
ANONYMOUSTOKEN4072,1
71986193,1
20951583,1
21008499,1
ANONYMOUSTOKEN2780,1
78264339,1
84328843,0
ANONYMOUSTOKEN4257,1
ANONYMOUSTOKEN4541,1
ANONYMOUSTOKEN5043,0
ANONYMOUSTOKEN1378,1
ytr2oi10,1
dhxk3u10,0
76988545,1
ANONYMOUSTOKEN4369,0
ANONYMOUSTOKEN4496,1
ANONYMOUSTOKEN4028,1
ANONYMOUSTOKEN4915,0
ANONYMOUSTOKEN4909,0
ANONYMOUSTOKEN4964,0
s10x6410,1
61081952,1
72728151,1
ANONYMOUSTOKEN2949,1
ANONYMOUSTOKEN4933,0
TESTGFIAM3,1
01304498,1
21221623,0
ANONYMOUSTOKEN1386,1
57381478,0
hd3fii10,0
91516349,1
09717798,1
89532233,1
19595573,1
08967930,0
93703162,0
35748433,0
ANONYMOUSTOKEN5246,0
12559795,1
nw1p6v10,1
66966053,1
58730797,1
ANONYMOUSTOKEN1984,1
77431241,1
20237174,1
ANONYMOUSTOKEN2894,1
ANONYMOUSTOKEN3258,1
41979823,1
37085298,0
59756519,1
oj505n10,1
52564850,1
53126460,0
53424030,0
60844779,1
ANONYMOUSTOKEN1251,1
ANONYMOUSTOKEN2286,1
65397904,1
ANONYMOUSTOKEN5096,0
ANONYMOUSTOKEN5230,0
ANONYMOUSTOKEN879,1
ANONYMOUSTOKEN2140,1
93144940,1
02050115,1
ANONYMOUSTOKEN873,1
03220354,0
19093085,0
03992289,0
51526970,1
ANONYMOUSTOKEN2890,1
74728137,1
ANONYMOUSTOKEN3668,1
67873808,0
90621084,1
42604746,1
13564499,0
75402372,0
36259791,1
88746629,0
ANONYMOUSTOKEN1028,1
16459865,1
ANONYMOUSTOKEN2850,1
37449675,1
blxa4t10,1
ANONYMOUSTOKEN3687,1
08664716,1
45366193,0
71533785,1
emhuqn10,1
17522743,1
ANONYMOUSTOKEN867,1
68519157,1
79464958,1
ANONYMOUSTOKEN2472,1
ANONYMOUSTOKEN4539,1
60046875,0
73205587,1
71369077,1
34946530,1
ANONYMOUSTOKEN1300,1
07570129,1
ANONYMOUSTOKEN2714,1
v8nsei10,1
84685677,1
lik1vh10,1
ANONYMOUSTOKEN4748,0
01273097,0
ANONYMOUSTOKEN4836,0
hao5wr10,1
86223555,1
ANONYMOUSTOKEN1409,1
09986119,1
ANONYMOUSTOKEN2096,1
40020695,1
80709519,1
dad79q10,1
k5pji110,0
06550182,0
33730950,0
ypzqh310,1
ANONYMOUSTOKEN2117,1
28691741,1
75344846,1
01017603,1
18093556,0
37754613,1
57888213,1
91730046,0
06452329,1
28488630,0
ANONYMOUSTOKEN2405,1
81301086,1
90049261,1
61785792,1
ANONYMOUSTOKEN4220,1
ANONYMOUSTOKEN4537,1
00794544,0
ANONYMOUSTOKEN5192,0
60630585,0
58703064,1
45357328,1
ANONYMOUSTOKEN2126,1
ANONYMOUSTOKEN2954,1
01953061,1
ANONYMOUSTOKEN3236,1
60298128,1
95780643,1
ANONYMOUSTOKEN5083,0
sxjeop10,0
51576332,1
79729005,1
13282082,1
