token,profil_utilisateur
ANONYMOUSTOKEN3179,1
ANONYMOUSTOKEN4940,0
90890415,1
44931596,1
90079864,1
ANONYMOUSTOKEN3481,1
43720893,1
56825710,1
ANONYMOUSTOKEN4542,0
ANONYMOUSTOKEN4894,0
74431674,1
78435038,1
89826292,1
ANONYMOUSTOKEN3232,0
ANONYMOUSTOKEN4114,1
ANONYMOUSTOKEN4607,0
50207445,0
13020366,1
00836285,1
ANONYMOUSTOKEN3777,1
81646564,1
11652130,1
09785580,1
kky4c610,1
ANONYMOUSTOKEN2779,1
ANONYMOUSTOKEN2823,1
77523095,1
69579349,1
87614411,1
ANONYMOUSTOKEN4229,1
30967096,1
48065459,0
15570230,1
b0itsn10,1
xjxekp10,1
18278092,1
53959938,1
ANONYMOUSTOKEN2558,1
77967061,1
ANONYMOUSTOKEN4123,1
ANONYMOUSTOKEN5097,0
46713841,0
30736535,1
zp5r0810,0
47793175,1
ANONYMOUSTOKEN3627,1
ANONYMOUSTOKEN4059,1
07562418 ,0
68739080,1
45278676,0
62179251,1
e7jmbo10,1
04143353,1
64365984,1
15545308,1
ANONYMOUSTOKEN1613,1
90141823,1
52051757,1
83904211,1
uw2mp610,0
ANONYMOUSTOKEN2490,1
ANONYMOUSTOKEN2852,1
ANONYMOUSTOKEN2915,1
ANONYMOUSTOKEN3077,1
87226500,1
06643123,1
33912318,1
60696628,1
ANONYMOUSTOKEN2633,1
33876984,0
k8ltjg10,1
58642278,1
qfytyb10,1
ANONYMOUSTOKEN874,1
vsh38j10,1
66186740,1
ANONYMOUSTOKEN2201,1
73866786,1
ANONYMOUSTOKEN2634,1
ANONYMOUSTOKEN2643,1
ANONYMOUSTOKEN4578,1
ANONYMOUSTOKEN4796,0
31644941,0
v4dzqg10,1
16222592,0
ANONYMOUSTOKEN3616,0
ANONYMOUSTOKEN4571,1
ANONYMOUSTOKEN5208,0
ANONYMOUSTOKEN1363,1
34006107,1
99215731,1
ANONYMOUSTOKEN2186,1
x4mzi710,1
ANONYMOUSTOKEN2499,1
28344222,1
ANONYMOUSTOKEN3782,0
61108864,1
49001500,0
60579722,0
26958772,1
03715480,1
ANONYMOUSTOKEN3484,1
ANONYMOUSTOKEN4207,1
09932835,1
TESTGFINBOTAB25T,1
ANONYMOUSTOKEN4363,1
ANONYMOUSTOKEN4867,0
63646255,0
ANONYMOUSTOKEN4955,0
m0vi7z10,1
dsarrt10,1
hsd61610,1
ANONYMOUSTOKEN1155,1
12512592,1
51045871,1
ANONYMOUSTOKEN2759,0
ANONYMOUSTOKEN2939,1
91793566,1
20045394,1
ANONYMOUSTOKEN4404,1
ANONYMOUSTOKEN1863,1
93464206,1
18331542,1
18297311,1
ANONYMOUSTOKEN3447,1
04851323,1
66552531,0
ANONYMOUSTOKEN2144,1
ANONYMOUSTOKEN2426,1
ANONYMOUSTOKEN2406,1
58329927,1
ANONYMOUSTOKEN3641,1
ANONYMOUSTOKEN3771,1
37030503,1
14241840,1
05670353,1
ANONYMOUSTOKEN5003,0
ANONYMOUSTOKEN4890,0
ANONYMOUSTOKEN875,1
ANONYMOUSTOKEN2119,1
ANONYMOUSTOKEN4202,1
91498992,1
ANONYMOUSTOKEN4664,1
ANONYMOUSTOKEN5012,0
mmyfxp10,1
16363890,1
26657032,1
50311004,1
42315007,0
83409081,1
01704960,1
30369421,1
ANONYMOUSTOKEN2502,1
tm9aq810,1
96109194,1
86235180,1
TESTGFIJRO,1
89387561,0
TESTGFINBOTAB27,1
ANONYMOUSTOKEN5170,0
78440626,1
07037552,1
20843511,1
ANONYMOUSTOKEN2842,1
60238900,1
27754703,1
82859006,0
32602787,1
65553709,1
63879735,1
08407485,1
07248824,1
ANONYMOUSTOKEN3676,1
34965964,1
90335726,1
ANONYMOUSTOKEN4910,0
ANONYMOUSTOKEN4921,0
loi87v10,1
l542uu10,1
79922313,1
66331319,1
ANONYMOUSTOKEN2964,1
ANONYMOUSTOKEN3247,1
26559000,1
ANONYMOUSTOKEN4673,1
pzf2lm10,1
ANONYMOUSTOKEN894,1
31440617,1
ANONYMOUSTOKEN2110,1
ANONYMOUSTOKEN2880,1
17172072,1
ANONYMOUSTOKEN3537,1
16974200,1
ANONYMOUSTOKEN4663,0
81814544,0
06551530,1
09431928,1
66102134,1
81121578,1
50777868,1
68813321,1
40129495,1
ANONYMOUSTOKEN4547,1
ANONYMOUSTOKEN4989,0
ANONYMOUSTOKEN5243,0
ANONYMOUSTOKEN1256,1
ANONYMOUSTOKEN1889,1
ANONYMOUSTOKEN2715,1
69734569,1
56446138,1
82044778,0
ANONYMOUSTOKEN5105,0
76197311,0
ANONYMOUSTOKEN5061,0
85076551,1
18675553,1
83891242,1
ANONYMOUSTOKEN3513,1
19246044,1
45271760,1
ANONYMOUSTOKEN4473,1
56722059,0
ANONYMOUSTOKEN5174,0
33186172,1
06754305,1
s3o3s010,1
ANONYMOUSTOKEN2274,1
07544203,1
ANONYMOUSTOKEN1174,1
ANONYMOUSTOKEN1424,1
41846106,1
28379122,1
ANONYMOUSTOKEN977,1
ANONYMOUSTOKEN2897,1
ANONYMOUSTOKEN3284,1
ANONYMOUSTOKEN5173,0
n2kdcd10,0
25492583,1
30975238,1
02513976,1
ANONYMOUSTOKEN2609,1
ANONYMOUSTOKEN2938,1
ANONYMOUSTOKEN3093,1
ANONYMOUSTOKEN4413,1
ANONYMOUSTOKEN5134,0
22644301,0
29060560,0
23138741,1
74077527,1
96803979,1
ANONYMOUSTOKEN3882,1
55657274,1
ANONYMOUSTOKEN4488,1
ANONYMOUSTOKEN892,1
58665870,1
09758178,1
48538887,1
21851770,0
ANONYMOUSTOKEN4248,1
53697400,0
26488296,0
mrf5zv10,1
ANONYMOUSTOKEN1278,1
fjkts210,1
ANONYMOUSTOKEN1203,1
if8cr210,1
36714603,1
ANONYMOUSTOKEN2214,1
27959949,1
ANONYMOUSTOKEN2491,1
zmevwk10,1
ANONYMOUSTOKEN2667,1
TESTGFIMAXIME2,1
ANONYMOUSTOKEN5197,0
32440801,1
33553055,0
ANONYMOUSTOKEN2081,1
71933280,1
ANONYMOUSTOKEN2422,1
07591885,1
22491470,1
ANONYMOUSTOKEN878,1
ANONYMOUSTOKEN1573,1
ANONYMOUSTOKEN1829,1
43582280,1
80114972,1
70770094,1
ANONYMOUSTOKEN4749,0
ANONYMOUSTOKEN4965,0
mt257e10,1
38140609,1
63975627,1
74602030,1
24639777,1
82610900,1
vvv76w10,1
ANONYMOUSTOKEN3008,1
ANONYMOUSTOKEN3646,1
74549561,1
00784759,1
79357978,1
24441794,1
79055290,1
ANONYMOUSTOKEN1976,1
34676413,1
49065518,1
ANONYMOUSTOKEN2856,1
ANONYMOUSTOKEN2104,1
ANONYMOUSTOKEN2136,1
ANONYMOUSTOKEN2266,1
ANONYMOUSTOKEN2874,1
56275763,0
ANONYMOUSTOKEN3625,1
96944441,1
ANONYMOUSTOKEN4562,1
13874434,0
61142431,1
ANONYMOUSTOKEN1986,1
51536821,1
36165069,1
11025425,1
14324497,1
92302461,0
ANONYMOUSTOKEN3825,1
57864676,1
81845960,1
50494346,1
88302514,1
39034254,1
77262328,0
97088902,1
74529045,1
06685583,1
ANONYMOUSTOKEN2924,1
bc9fcp10,1
75877230,1
ANONYMOUSTOKEN4567,1
25877360,0
22599593,0
13723917,1
ibh1ei10,1
ANONYMOUSTOKEN1013,1
nsg95u10,1
08386142,1
13576806,1
ANONYMOUSTOKEN3665,1
02947580,0
44499934,0
16929133,1
87359072,1
34954844,1
jwt25s10,1
72976072,0
ANONYMOUSTOKEN3554,1
56853209,0
90310046,0
ANONYMOUSTOKEN885,1
13522630,1
ov61e110,1
75937174,0
34275619,1
88333950,1
ANONYMOUSTOKEN4161,1
50571868,1
12633618,0
ANONYMOUSTOKEN887,1
ANONYMOUSTOKEN1789,1
nm3z1h10,1
ANONYMOUSTOKEN2963,1
86976707,1
ANONYMOUSTOKEN4307,1
15153096,0
ANONYMOUSTOKEN4630,0
ANONYMOUSTOKEN5296,0
79216204,1
27790129,1
ANONYMOUSTOKEN3187,1
45169335,1
jxvfsr10,1
ANONYMOUSTOKEN1974,1
ANONYMOUSTOKEN2867,1
54178855,1
18963260,1
ANONYMOUSTOKEN4018,1
ANONYMOUSTOKEN4424,1
98412525,0
ANONYMOUSTOKEN4181,0
tkgoji10,0
79799820,1
07467835,1
ANONYMOUSTOKEN2278,1
ANONYMOUSTOKEN2843,1
ANONYMOUSTOKEN2869,1
31875732,1
85710560,1
ed1blm10,1
09623791,0
ANONYMOUSTOKEN4969,0
53737940,1
ANONYMOUSTOKEN2029,1
50325466,1
98952138,1
ANONYMOUSTOKEN2620,1
42399068,1
ANONYMOUSTOKEN4206,1
75500753,0
78458030,0
59554435,1
27029037,1
lwi9g010,1
ysgu0r10,1
TESTGFIJMRandroid,1
40064833,1
ANONYMOUSTOKEN4234,1
70250437,0
86936124,1
79549034,1
33894558,1
97451192,1
ANONYMOUSTOKEN2803,1
ANONYMOUSTOKEN3087,1
90949931,1
84284503,1
ANONYMOUSTOKEN3957,1
ANONYMOUSTOKEN4420,1
78230033,1
37143799,1
94211038,1
ANONYMOUSTOKEN2865,1
00274356,0
12300019,0
orbwht10,1
62116252,1
51448064,1
ANONYMOUSTOKEN4101,0
70923110,0
k8q5kj10,1
42926492,1
00049552,1
ANONYMOUSTOKEN3597,1
ANONYMOUSTOKEN4113,1
37094815,0
ANONYMOUSTOKEN1878,1
86200535,1
96049837,0
42383483,1
gohbez10,1
51677312,0
ANONYMOUSTOKEN3491,1
ANONYMOUSTOKEN3583,1
uf2xg110,1
42181760,0
36959720,0
84369164,1
54550972,1
29820831,1
ANONYMOUSTOKEN2481,1
ANONYMOUSTOKEN3192,1
TESTGFINBOSONY22b,1
42683282,1
ANONYMOUSTOKEN4793,0
24940933,0
68787750,1
67436234,1
ftcm4h10,1
95216326,1
89982306,1
30243960,1
38382288,1
ANONYMOUSTOKEN4525,1
ANONYMOUSTOKEN4596,1
ANONYMOUSTOKEN4919,0
00622249,1
c5szaz10,1
82839744,1
61785792 ,1
86127565,1
43365594,0
76936254,0
ANONYMOUSTOKEN4773,0
r8d56i10,1
ANONYMOUSTOKEN2870,1
ANONYMOUSTOKEN2866,1
ANONYMOUSTOKEN3508,1
71869489,1
45239437,1
ANONYMOUSTOKEN4689,0
ANONYMOUSTOKEN5082,0
p2ouqi10,1
b2j2n310,0
ANONYMOUSTOKEN1396,1
ANONYMOUSTOKEN1229,1
ANONYMOUSTOKEN2050,1
52782982,1
ANONYMOUSTOKEN1014,1
09146540,1
ANONYMOUSTOKEN3569,1
81597213,0
35520273,1
ANONYMOUSTOKEN4912,0
ANONYMOUSTOKEN5092,0
ANONYMOUSTOKEN5004,0
ANONYMOUSTOKEN4961,0
57919909,1
ANONYMOUSTOKEN2097,1
ANONYMOUSTOKEN2928,1
ANONYMOUSTOKEN2761,1
81520192,1
72070970,1
52921187,0
ANONYMOUSTOKEN1579,1
ajnff710,1
ANONYMOUSTOKEN2561,1
77565596,1
45486364,0
62254058,1
24942652,1
02640039,1
61858326,1
ANONYMOUSTOKEN2553,1
20848161,1
65246665,1
28036329,1
01970875,0
61611203,1
03589135,1
16013770,1
ANONYMOUSTOKEN2508,1
06605590,1
28617937,1
79458098,1
07525065,1
79421501,1
99297951,0
ANONYMOUSTOKEN2730,1
ANONYMOUSTOKEN861,1
33998194,1
ANONYMOUSTOKEN3190,1
59095292,1
cpj8b810,1
ANONYMOUSTOKEN2896,1
ANONYMOUSTOKEN3428,1
30284901,1
94950760,1
36808950,1
ANONYMOUSTOKEN3975,1
ANONYMOUSTOKEN4868,0
43925134,1
ANONYMOUSTOKEN2577,1
ANONYMOUSTOKEN2848,1
71462714,1
97939370,1
ANONYMOUSTOKEN5199,0
08667831,1
t6ijy210,1
78717746,1
68389784,1
84736620,1
97687791,1
52938400,1
02920055,1
pm07al10,0
52206636,0
11358130,1
55151246,1
56140212,1
fdazhz10,1
90274548,1
67742959,1
10224214,1
56452850,1
q8rdk710,1
65031173,1
80492791,0
97475706,0
83710163,1
21721107,1
ANONYMOUSTOKEN2818,1
ANONYMOUSTOKEN3118,1
17694901,1
cskhdo10,1
13838210,1
ANONYMOUSTOKEN5231,0
11109590,0
47905683,1
ANONYMOUSTOKEN1792,1
63343150,0
04248461,1
b17e5f10,0
57064907,0
04758407,1
ANONYMOUSTOKEN3339,1
15785735,1
07288759,1
46454382,1
41605287,0
03153556,0
62893418,0
ANONYMOUSTOKEN2450,1
hg99lw10,0
ANONYMOUSTOKEN2885,1
91400957,1
13769057,0
ANONYMOUSTOKEN3681,0
70241111,1
22880697,1
77769659,1
31038051,1
ANONYMOUSTOKEN2806,1
ANONYMOUSTOKEN3326,1
ANONYMOUSTOKEN2970,1
ANONYMOUSTOKEN4418,1
ANONYMOUSTOKEN4498,0
83653554,0
ANONYMOUSTOKEN1530,1
77161218,1
09036904,1
ANONYMOUSTOKEN2069,1
62860235,1
90305117,1
76938279,1
54176477,1
dhyci110,1
ANONYMOUSTOKEN2765,1
51255303,1
fr8ecc10 ,1
72405069,1
ANONYMOUSTOKEN4218,1
68723246,1
ANONYMOUSTOKEN916,1
44149094,1
97385493,1
97737552,1
02904572,0
ANONYMOUSTOKEN5166,0
27325277,1
c1d1p410,0
TESTGFINBOTAB24,1
99903565,1
ANONYMOUSTOKEN4519,1
21480176,0
19739517,1
42159585,1
36560308,1
14084642,0
23839042,1
64508233,1
39629960,0
51918907,1
03812682,1
ANONYMOUSTOKEN3517,1
ANONYMOUSTOKEN4544,1
68299602,1
02158032,1
66256720,1
07080090,1
TESTGFIMAXIME1,1
45302472,1
ANONYMOUSTOKEN5169,0
94314744,0
91041859,1
ANONYMOUSTOKEN1137,1
62026869,0
nf6dam10   ,1
02020534,1
31514523,1
88580508,1
48302272,1
73662840,0
ANONYMOUSTOKEN935,1
ANONYMOUSTOKEN3577,1
ANONYMOUSTOKEN1406,1
35539132,1
t3gmt010,1
ANONYMOUSTOKEN1233,1
03947479,1
82776414,1
46825594,0
37938114,0
49903846,0
85152668,0
32132260,1
dyewmg10,1
hvsyse10,1
19527079,1
19072801,1
ANONYMOUSTOKEN4799,0
ANONYMOUSTOKEN2443,1
ANONYMOUSTOKEN2884,1
ANONYMOUSTOKEN3445,1
ANONYMOUSTOKEN3235,1
ANONYMOUSTOKEN2753,1
ANONYMOUSTOKEN3618,1
ANONYMOUSTOKEN4080,1
59790135,1
85253689,0
21945045,1
66668565,1
ANONYMOUSTOKEN3161,1
ANONYMOUSTOKEN3695,1
ANONYMOUSTOKEN4423,1
ANONYMOUSTOKEN4676,0
00695017,1
73327383,1
75274364,1
a15rj410,1
08209853,1
37025031,1
ANONYMOUSTOKEN2123,1
49454427,1
57529109,1
52865811,1
02047321,1
36477992,1
ANONYMOUSTOKEN4798,0
ANONYMOUSTOKEN865,1
71602623,1
17867258,1
73583652,1
47125839,1
10321494,1
ANONYMOUSTOKEN4786,0
83199741,1
r007jn10,1
ANONYMOUSTOKEN1964,1
99484359,1
ANONYMOUSTOKEN2281,1
85256484,1
92680914,0
66418459,0
24861258,1
79006065,1
ANONYMOUSTOKEN1374,1
36691934,1
ANONYMOUSTOKEN3877,1
01039694,1
ANONYMOUSTOKEN4771,0
25853137,1
98186177,1
79594989,1
apr8as10,1
ANONYMOUSTOKEN2864,1
57234800,0
60486116,1
52512913,1
ANONYMOUSTOKEN4805,0
ANONYMOUSTOKEN5198,0
y96ok910,1
13365587,0
75803802,1
77181867,1
v65ef210,1
ANONYMOUSTOKEN3669,1
64997582,0
44851570,1
49636961,0
ANONYMOUSTOKEN1539,1
93359254,1
ANONYMOUSTOKEN876,1
ANONYMOUSTOKEN1981,1
97481521,1
xyyv0s10,1
ANONYMOUSTOKEN2536,1
13515216,1
42267936,1
ANONYMOUSTOKEN2024,1
58514900,1
86218643,1
ANONYMOUSTOKEN2586,1
ANONYMOUSTOKEN1376,1
68229708,1
46148460,1
ANONYMOUSTOKEN2202,1
46989856,1
56063500,0
46109745,1
82016381,1
03612076,1
92447383,1
73141749,1
44807696,1
ANONYMOUSTOKEN3122,1
TESTGFINBOTAB257,1
48709254,1
99580356,1
e3ld7k10,0
68634418,1
12867686,1
ANONYMOUSTOKEN2588,1
79472056,0
ANONYMOUSTOKEN2960,1
44524056,1
ANONYMOUSTOKEN3202,1
58831402,1
ANONYMOUSTOKEN3437,1
ANONYMOUSTOKEN4115,1
98434377,1
ANONYMOUSTOKEN5220,0
32765408,1
26401885,1
15980940,1
ANONYMOUSTOKEN2748,1
ANONYMOUSTOKEN2828,1
ANONYMOUSTOKEN2917,1
71476472,1
91728635,1
ANONYMOUSTOKEN5076,0
i05n8k10,0
ANONYMOUSTOKEN2148,1
ANONYMOUSTOKEN2151,1
ANONYMOUSTOKEN2300,1
ANONYMOUSTOKEN3545,1
ANONYMOUSTOKEN4373,1
wzq4k810,1
98940886,1
54192866,0
49222838,1
67874308,1
59537730,1
ANONYMOUSTOKEN4536,1
ANONYMOUSTOKEN5041,0
ANONYMOUSTOKEN5224,0
